Time,country,eventName,beforeValue,nowValue,expectValue
2001-01-01 17:00,USD,ISM非制造业就业指数 ,52.4,-1,54.6
2001-01-01 17:00,USD,ISM非制造业PMI ,54,-1,56.2
2001-01-01 17:00,USD,JOLTs职位空缺数 ,,,
2001-01-01 17:00,USD,密歇根大学消费者预期指数 ,88.7,-1,101.6
2001-01-01 17:00,USD,密歇根大学消费者信心指数 ,98.4,-1,107.7
2001-01-01 17:00,USD,新屋销售 ,983.00K,-1,880.00K
2001-01-01 17:00,USD,新屋销售 ,11.70%,-1,-5.70%
2001-01-01 17:00,USD,个人支出 ,0.60%,-1,0.20%
2001-01-01 17:00,USD,费城联储制造业指数 ,-8,-1,6.9
2001-01-01 17:00,USD,费城联储就业指数 ,-9.9,-1,-4.3
2001-01-01 17:00,USD,私人部门非农就业 ,98.00K,-1,208.00K
2001-01-01 17:00,USD,零售销售 ,-0.10%,-1,-0.40%
2001-01-01 17:00,USD,TIC长期资本净流入 ,25.10B,-1,45.50B
2001-01-01 17:00,USD,贸易收支 ,-33.50B,-1,-32.60B
2001-01-01 17:00,CAD,营建许可 ,1.30%,-1,0.40%
2001-01-01 17:00,CAD,核心消费价格指数,0.00%,-1,0.10%
2001-01-01 17:00,CAD,核心消费价格指数,1.70%,-1,1.50%
2001-01-01 17:00,CAD,核心零售销售 ,0.70%,-1,0.40%
2001-01-01 17:00,CAD,居民消费价格指数,0.10%,-1,0.30%
2001-01-01 17:00,CAD,就业人口变化 ,48.60K,-1,36.10K
2001-01-01 17:00,CAD,外资证券购买 ,-20.75B,-1,-1.07B
2001-01-01 17:00,CAD,国内生产总值,0.20%,-1,0.10%
2001-01-01 17:00,CAD,新屋开工 ,144.50K,-1,156.90K
2001-01-01 17:00,CAD,利率决议 ,5.75%,-1,5.75%
2001-01-01 17:00,CAD,制造业销售额 ,-0.80%,-1,-0.60%
2001-01-01 17:00,CAD,新屋价格指数 ,0.00%,-1,0.40%
2001-01-01 17:00,CAD,零售销售 ,0.60%,-1,0.20%
2001-01-01 17:00,CAD,原材料价格指数 ,-5.50%,-1,2.10%
2001-01-01 17:00,CAD,贸易收支 ,7.04B,-1,5.91B
2001-01-01 17:00,CAD,失业率 ,6.80%,-1,6.90%
2001-01-01 17:00,CAD,批发销售额 ,1.10%,-1,-0.80%
